Year,Make,Model,Used/New,Price,SellerType,State,InteriorColor,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission
2016,Nissan,Rogue SV,Used,"$19,949",Dealer,PA,Charcoal,All-wheel Drive,25,32,Gasoline,Automatic CVT
2014,Mercedes-Benz,E-Class E 350 4MATIC,Used,"$14,500",Dealer,NJ,Black,All-wheel Drive,21,30,Gasoline,driver adaptive 7 speed automatic
2012,BMW,X5 xDrive35i Premium,Used,"$12,499",Dealer,PA,Brown,All-wheel Drive,16,23,Gasoline,8-Speed Automatic
2020,Hyundai,Santa Fe SEL 2.4,Used,"$30,187",Dealer,NJ,Black,All-wheel Drive,21,27,Gasoline,8-Speed Automatic
2020,Hyundai,Santa Fe SEL 2.4,Used,"$28,959",Dealer,NJ,Black / Beige,All-wheel Drive,21,27,Gasoline,8-Speed Automatic
2019,Mercedes-Benz,S-Class S 560 4MATIC,Used,"$71,458",Dealer,NJ,Brown,All-wheel Drive,17,27,Gasoline,9-Speed Automatic
2020,Hyundai,Santa Fe SEL 2.4,Used,"$30,716",Dealer,NJ,Espresso,All-wheel Drive,21,27,Gasoline,8-Speed Automatic
2020,Hyundai,Elantra SE,Used,"$17,995",Dealer,NJ,Beige,Front-wheel Drive,30,40,Gasoline,Automatic CVT
2020,BMW,X3 M40i,Used,"$49,995",Dealer,NJ,Cognac,All-wheel Drive,21,27,Gasoline,8-Speed Automatic
2019,Volkswagen,Golf R 2.0T w/DCC & Navigation,Used,"$40,500",Dealer,NY,Titan Black,All-wheel Drive,23,30,Gasoline,7-Speed Automatic with Auto-Shift
2018,Land,Rover Range Rover HSE,Used,"$52,874",Dealer,NY,Ebony,Four-wheel Drive,17,23,Gasoline,Automatic
2019,Mercedes-Benz,S-Class S 560 4MATIC,Used,"$62,995",Dealer,NY,White,All-wheel Drive,17,27,Gasoline,9-Speed Automatic
2018,BMW,430 Gran Coupe i xDrive,Used,"$26,975",Dealer,MA,Coral Red / Black,All-wheel Drive,23,33,Gasoline,8-Speed Automatic
2018,BMW,430 Gran Coupe i xDrive,Used,"$25,975",Dealer,MA,Golden Brown,All-wheel Drive,23,33,Gasoline,8-Speed Automatic
2019,Mercedes-Benz,GLS 450 4MATIC,Used,"$56,287",Dealer,MA,Ginger,All-wheel Drive,16,22,Gasoline,9-Speed Automatic
2018,BMW,430 Gran Coupe i xDrive,Used,"$29,995",Dealer,MA,Golden Brown,All-wheel Drive,23,33,Gasoline,8-Speed Automatic
2016,GMC,Yukon Denali,Used,"$38,999",Dealer,CA,Black,Four-wheel Drive,15,21,Gasoline,8-Speed Automatic
2020,Mercedes-Benz,GLB 250 Base,Used,"$42,492",Dealer,CA,Black,Front-wheel Drive,23,30,Gasoline,8-Speed Automatic with Auto-Shift
2021,Toyota,Camry SE,Used,"$31,998",Dealer,CA,Black,Front-wheel Drive,28,39,Gasoline,8-Speed Automatic
2019,Subaru,Crosstrek 2.0i Premium,Used,"$28,998",Dealer,AZ,Gray,All-wheel Drive,27,33,Gasoline,Automatic CVT
2020,Dodge,Charger Scat Pack,Used,"$40,600",Dealer,AZ,Caramel / Black,Rear-wheel Drive,15,24,Gasoline,8-Speed Automatic
2021,Subaru,Crosstrek Premium,Used,"$26,000",Dealer,UT,Black,All-wheel Drive,28,33,Gasoline,Automatic CVT
2018,Subaru,Crosstrek 2.0i Premium,Used,"$29,998",Dealer,OR,Black,All-wheel Drive,27,33,Gasoline,Automatic CVT
2018,Subaru,Crosstrek 2.0i Premium,Used,"$27,998",Dealer,WA,Black,All-wheel Drive,27,33,Gasoline,Automatic CVT
2019,Audi,Q5 2.0T Premium,Used,"$35,700",Dealer,TX,Black,All-wheel Drive,22,27,Gasoline,7-Speed Automatic with Auto-Shift
2019,Audi,Q5 2.0T Premium,Used,"$38,884",Dealer,TX,Black,All-wheel Drive,22,27,Gasoline,7-Speed Automatic with Auto-Shift
2012,Audi,A5 2.0T Premium,Used,"$14,499",Dealer,TX,Black,All-wheel Drive,21,29,Gasoline,8-Speed Automatic
