Year,Make,Model,Used/New,Price,SellerType,State,InteriorColor,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission
2020,Lexus,RX 350 Base,Used,"$47,455",Dealer,VA,Black,All-wheel Drive,19,26,Gasoline,8-Speed Automatic
2020,Mazda,Mazda6 Sport,Used,"$30,916",Dealer,MD,Parchment,Front-wheel Drive,23,31,Gasoline,6-Speed Automatic
2016,Hyundai,Sonata Hybrid SE,Used,"$18,375",Dealer,MD,Gray,Front-wheel Drive,40,44,Hybrid,6-Speed Automatic
2017,Alfa,Romeo Giulia Ti,Used,"$29,900",Private,MD,Black,All-wheel Drive,23,31,Gasoline Fuel,Transmission w/Dual Shift Mode
2017,Toyota,Corolla LE,Used,"$13,899",Dealer,FL,Gray,Front-wheel Drive,28,36,Gasoline,CVT
2016,Acura,MDX 3.5L w/Technology Package,Used,"$19,900",Dealer,PA,Ebony,Front-wheel Drive,19,27,Gasoline,9-Speed Automatic
2008,Lexus,RX 350 Base (A5),Used,"$11,995",Dealer,NJ,Beige,All-wheel Drive,17,22,Gasoline,5-Speed Automatic
2019,BMW,X5 xDrive40i,Used,"$56,998",Dealer,NJ,Black,All-wheel Drive,20,26,Gasoline,8-Speed Automatic
2020,Acura,ILX Premium & A-SPEC Packages,Used,"$30,885",Dealer,NY,Red,Front-wheel Drive,24,34,Gasoline,8-Speed Automatic with Auto-Shift
2006,Toyota,Highlander Limited w/3rd Row,Used,"$11,995",Dealer,NJ,Ash,Four-wheel Drive,18,24,Gasoline,Automatic
2019,BMW,M550 i Xdrive,Used,"$44,718",Dealer,NY,Black,All-wheel Drive,18,25,Gasoline,sport automatic
2019,Subaru,Forester,Used,"$23,990",Dealer,MA,Gray,All-wheel Drive,26,33,Gasoline,Automatic CVT
2021,Cadillac,XT6 Premium Luxury AWD,Used,"$59,998",Dealer,CA,Dark Auburn,All-wheel Drive,18,25,Gasoline,9-Speed Automatic
2020,Chevrolet,Blazer Premier,Used,"$48,998",Dealer,CA,Jet Black,Front-wheel Drive,19,26,Gasoline,9-Speed Automatic
2012,Porsche,911 Targa 4,Used,"$72,998",Dealer,CA,Black,All-wheel Drive,18,25,Gasoline,7-Speed Automatic with Auto-Shift
2018,Audi,A3 2.0T Prestige,Used,"$31,492",Dealer,AZ,Black,All-wheel Drive,24,31,Gasoline,6-Speed Automatic with Auto-Shift
2017,Jeep,Grand Cherokee Limited,Used,"$27,575",Dealer,AZ,Black,Rear-wheel Drive,19,26,Gasoline,8-Speed Automatic
2018,Subaru,Outback 2.5i Limited,Used,"$29,499",Dealer,AZ,Black,All-wheel Drive,25,32,Gasoline,Automatic CVT
2018,Mazda,CX-5 Grand Touring,Used,"$27,499",Dealer,CO,Parchment,Front-wheel Drive,25,31,Gasoline,6-Speed Automatic
2015,Porsche,Cayenne S,Used,"$34,999",Dealer,WA,Black,All-wheel Drive,17,24,Gasoline,8-Speed Automatic
2020,BMW,X5 xDrive40i,Used,"$62,787",Dealer,WA,Black,All-wheel Drive,20,26,Gasoline,8-Speed Automatic
2017,Buick,LaCrosse Premium,Used,"$28,994",Dealer,TX,Light Neutral,Front-wheel Drive,21,31,Gasoline,8-Speed Automatic
2017,Cadillac,XT5 Luxury,Used,"$33,029",Dealer,TX,Black,Front-wheel Drive,19,27,Gasoline,8-Speed Automatic
2021,Tesla,Model Y Performance,Used,"$74,799",Dealer,TX,White / Black,All-wheel Drive,115,106,Electric,1-Speed Automatic
2019,Volvo,XC60 T5 Momentum,Used,"$41,967",Dealer,TX,Maroon Brown,All-wheel Drive,20,27,Gasoline,8-Speed Automatic
2020,Dodge,Challenger SXT,Used,"$28,619",Dealer,TX,Black,Rear-wheel Drive,19,30,Gasoline,8-Speed Automatic
2019,Audi,Q5 2.0T Premium,Used,"$35,739",Dealer,TX,Atlas Beige / Gray,All-wheel Drive,22,27,Gasoline,7-Speed Automatic with Auto-Shift
2021,Mazda,Mazda3 FWD w/Preferred Package,Used,"$27,981",Dealer,TX,Black / Navy Blue,Front-wheel Drive,26,35,Gasoline,6-Speed Automatic
2021,Kia,Forte FE,Used,"$16,999",Dealer,TX,Gray,Front-wheel Drive,31,41,Gasoline,Automatic CVT
2019,Audi,Q5 2.0T Premium,Used,"$35,480",Dealer,TX,Black,All-wheel Drive,22,27,Gasoline,7-Speed Automatic with Auto-Shift
2018,Lincoln,MKZ Select,Used,"$22,995",Dealer,TX,Cream,Front-wheel Drive,21,31,Gasoline,6-Speed Automatic
2019,BMW,330 i xDrive,Used,"$40,000",Dealer,MO,Black,All-wheel Drive,25,34,Gasoline,8-Speed Automatic
2021,Tesla,Model Y Long Range,Used,"$74,900",Dealer,MO,Black,All-wheel Drive,131,117,Electric,1-Speed Automatic
2021,Ford,F-150 Lariat,Used,"$66,000",Dealer,IA,Black,Four-wheel Drive,19,24,Gasoline,10-Speed Automatic
2019,Volkswagen,Arteon 2.0T SEL Premium R-Line,Used,"$32,500",Dealer,IA,Titan Black,All-wheel Drive,20,27,Gasoline,8-Speed Automatic
2017,Honda,Accord LX,Used,"$17,352",Dealer,MN,Black,Front-wheel Drive,27,36,Gasoline,Automatic CVT
2021,Dodge,Charger SXT,Used,"$32,299",Dealer,LA,Black,Rear-wheel Drive,19,30,Gasoline,8-Speed Automatic
2019,Honda,Pilot EX-L,Used,"$34,995",Dealer,LA,Beige Leather,Front-wheel Drive,19,27,Gasoline,6-SPEED A/T
2019,Acura,RDX Base,Used,"$36,605",Dealer,IL,Parchment,All-wheel Drive,21,27,Gasoline,10-Speed Automatic
2019,Acura,RDX Base,Used,"$37,331",Dealer,IL,Parchment,All-wheel Drive,21,27,Gasoline,10-Speed Automatic
2021,Audi,Q5 45 Premium,Used,"$52,308",Dealer,IL,Rock Gray,All-wheel Drive,23,28,Gasoline,7-Speed Automatic with Auto-Shift
2018,Nissan,Rogue SL,Used,"$22,177",Dealer,IL,Charcoal,All-wheel Drive,25,32,Gasoline,Automatic
2020,Acura,MDX 3.5L Technology & A-Spec Pkgs,Used,"$46,988",Dealer,IL,Ebony,All-wheel Drive,19,25,Gasoline,9-Speed Automatic
2021,Volkswagen,Atlas 3.6L SEL Premium,Used,"$47,044",Dealer,IL,Titan Black / Quarzit,All-wheel Drive,16,22,Gasoline,8-Speed Automatic
2016,Volvo,XC90 T6 Momentum,Used,"$35,998",Dealer,IL,Blond,All-wheel Drive,20,25,Gasoline,8-Speed Automatic
2019,INFINITI,QX80 Luxe,Used,"$52,506",Dealer,TN,Saddle Brown,Rear-wheel Drive,14,20,Gasoline,7-Speed Automatic
2021,Honda,Pilot Special Edition,Used,"$43,704",Dealer,IN,Black,All-wheel Drive,19,26,Gasoline,9-Speed Automatic
2015,Acura,MDX 3.5L,Used,"$23,999",Dealer,GA,Beige,All-wheel Drive,18,27,Gasoline,6-Speed Automatic
2019,Audi,Q8 3.0T Premium,Used,"$62,995",Dealer,GA,Black,All-wheel Drive,17,22,Hybrid,8-Speed Automatic
2017,Nissan,Maxima 3.5 S,Used,"$19,989",Dealer,OH,Black,Front-wheel Drive,21,30,Gasoline,Automatic CVT
2020,Kia,Telluride SX,Used,"$46,995",Dealer,FL,Black,Front-wheel Drive,20,26,Gasoline,8-Speed Automatic
2020,Chrysler,300 S,Used,"$31,500",Dealer,GA,Black,All-wheel Drive,18,27,Gasoline,8-Speed Automatic
2020,Hyundai,Santa Fe Limited 2.0T,Used,"$34,744",Dealer,SC,Black / Beige,Front-wheel Drive,20,27,Gasoline,8-Speed Automatic
2020,Mercedes-Benz,GLB 250 Base,Used,"$37,220",Dealer,FL,Black,Front-wheel Drive,23,30,Gasoline,8-Speed Automatic with Auto-Shift
2005,Chrysler,Crossfire SRT-6,Used,"$24,900",Dealer,FL,Charcoal,Rear-wheel Drive,17,24,Gasoline,5-Speed Automatic
2019,Ford,F-150 XLT,Used,"$41,922",Dealer,SC,Black,Four-wheel Drive,18,23,Gasoline,10-Speed Automatic
2010,Porsche,Boxster,Used,"$28,950",Dealer,FL,Sand Beige,Rear-wheel Drive,19,27,Gasoline,7-Speed Automatic with Auto-Shift
2014,FIAT,500L Easy,Used,"$9,900",Dealer,NC,Black,Front-wheel Drive,25,33,Gasoline,6-Speed Manual
2015,Honda,Civic LX,Used,"$15,995",Dealer,NC,Black / Red,Front-wheel Drive,30,39,Gasoline,Automatic CVT
2017,Honda,Civic LX,Used,"$19,981",Dealer,VA,Black / Ivory,Front-wheel Drive,31,40,Gasoline,Automatic CVT
2020,Lexus,GX 460 Base,Used,"$49,000",Dealer,MD,Red,Four-wheel Drive,15,19,Gasoline,6-Speed Automatic
2019,BMW,X3 M40i,Used,"$47,500",Dealer,MD,Mocha,All-wheel Drive,20,27,Gasoline,8-Speed Automatic
2019,BMW,X5 xDrive40i,Used,"$58,591",Dealer,VA,Black,All-wheel Drive,20,26,Gasoline,8-Speed Automatic
2018,Mercedes-Benz,GLE 350 Base 4MATIC,Used,"$37,963",Dealer,PA,Black,All-wheel Drive,18,22,Gasoline,7-Speed Automatic
2019,BMW,X5 xDrive40i,Used,"$53,058",Dealer,VA,Ivory White,All-wheel Drive,20,26,Gasoline,8-Speed Automatic
2016,Nissan,Rogue SV,Used,"$18,485",Dealer,PA,Almond,All-wheel Drive,25,32,Gasoline,Automatic CVT
2016,Nissan,Rogue SV,Used,"$15,969",Dealer,DE,Charcoal,All-wheel Drive,25,32,Gasoline,Automatic CVT
2017,Honda,Pilot Elite,Used,"$34,955",Dealer,PA,Gray,All-wheel Drive,19,26,Gasoline,9-Speed Automatic
2016,Nissan,Rogue SV,Used,"$19,900",Dealer,PA,Charcoal,Front-wheel Drive,26,33,Gasoline,Automatic CVT
2015,BMW,428 i xDrive,Used,"$13,899",Dealer,PA,Black,All-wheel Drive,22,33,Gasoline,8-Speed Automatic
2008,Lexus,RX 350 Base,Used,"$11,495",Dealer,NJ,Tan,All-wheel Drive,17,22,Gasoline,5-SPEED A/T
2019,BMW,X7 xDrive50i,Used,"$69,888",Dealer,NJ,Cognac,All-wheel Drive,15,21,Gasoline,8-Speed Automatic
2019,Audi,A4 2.0T Premium,Used,"$31,995",Dealer,NY,Black,All-wheel Drive,23,34,Gasoline,7-Speed Automatic with Auto-Shift
2019,Toyota,Camry XSE,Used,"$29,900",Dealer,NY,Red,Front-wheel Drive,28,39,Gasoline,8-Speed Automatic
2017,BMW,X5 xDrive35i,Used,"$31,950",Dealer,NY,Mocha,All-wheel Drive,18,24,Gasoline,8-Speed Automatic
2020,Hyundai,Santa Fe SEL 2.4,Used,"$31,997",Dealer,NY,Espresso,All-wheel Drive,21,27,Gasoline,8-Speed Automatic
2019,Subaru,Forester,Used,"$26,998",Dealer,NH,Gray,All-wheel Drive,26,33,Gasoline,Automatic CVT
2015,Toyota,4Runner Limited,Used,"$35,977",Dealer,MA,Redwood,Four-wheel Drive,17,21,Gasoline,5-Speed Automatic
2020,BMW,X5 xDrive40i,Used,"$63,940",Dealer,NH,Ivory White,All-wheel Drive,20,26,Gasoline,8-Speed Automatic
2018,Toyota,4Runner Limited,Used,"$40,899",Dealer,MA,Sand Beige,Four-wheel Drive,17,20,Gasoline,5-Speed Automatic
2019,Mazda,CX-5 Grand Touring,Used,"$30,299",Dealer,CA,Black,Front-wheel Drive,25,31,Gasoline,6-Speed Automatic
2018,Ford,F-150 XL,Used,"$34,999",Dealer,CA,Dark Earth Gray,Four-wheel Drive,18,23,E85 Flex Fuel,Automatic
2021,Mazda,CX-9 Carbon Edition,Used,"$41,990",Dealer,AZ,Red,All-wheel Drive,20,26,Gasoline,6-Speed Automatic
2021,Tesla,Model Y Long Range,Used,"$72,650",Dealer,AZ,Black,All-wheel Drive,131,117,Electric,1-Speed Automatic
2017,Chevrolet,Equinox Premier,Used,"$22,999",Dealer,AZ,Jet Black,Front-wheel Drive,21,31,Gasoline,6-Speed Automatic with Overdrive
2017,Lexus,RX 350 350,Used,"$35,615",Dealer,AZ,Parchment,Front-wheel Drive,20,27,Gasoline,8-Speed Automatic
2020,BMW,X7 xDrive40i,Used,"$71,819",Dealer,UT,Tartufo,All-wheel Drive,20,25,Gasoline,8-Speed Automatic
2019,Jeep,Grand Cherokee Limited,Used,"$39,439",Dealer,UT,Black,Four-wheel Drive,18,25,Gasoline,8-Speed Automatic
2016,Subaru,Crosstrek 2.0i Premium,Used,"$19,687",Dealer,WA,Ivory,All-wheel Drive,26,34,Gasoline,Automatic CVT
2018,Subaru,Crosstrek 2.0i Limited,Used,"$28,952",Dealer,WA,Black,All-wheel Drive,27,33,Gasoline,Automatic CVT
2020,Audi,Q5 45 Prestige,Used,"$49,998",Dealer,WA,Black,All-wheel Drive,22,28,Gasoline,7-Speed Automatic with Auto-Shift
2021,Tesla,Model Y Long Range,Used,"$75,209",Dealer,TX,Black,All-wheel Drive,131,117,Electric,1-Speed Automatic
2018,Volvo,V90 Cross Country T5,Used,"$50,962",Dealer,TX,Charcoal,All-wheel Drive,23,31,Gasoline,8-Speed Automatic
2014,Honda,Accord EX-L,Used,"$20,800",Dealer,TX,Gray,Front-wheel Drive,21,34,Gasoline,6-Speed Automatic
2021,Toyota,4Runner Limited,Used,"$48,000",Dealer,TX,Redwood,Rear-wheel Drive,16,19,Gasoline,5-Speed Automatic
2019,Audi,Q5 2.0T Premium,Used,"$33,189",Dealer,TX,Rock Gray / Granite Gray,All-wheel Drive,22,27,Gasoline,7-Speed Automatic with Auto-Shift
2011,Nissan,Murano SL,Used,"$12,998",Dealer,TX,Beige,Front-wheel Drive,18,23,Gasoline,Automatic CVT
2021,Toyota,4Runner Nightshade,Used,"$55,900",Dealer,TX,Black / Graphite,Four-wheel Drive,16,19,Gasoline,5-Speed Automatic
2020,Dodge,Challenger SXT,Used,"$27,000",Dealer,TX,Black,Rear-wheel Drive,19,30,Gasoline,8-Speed Automatic
2019,Audi,Q8 3.0T Premium,Used,"$72,991",Dealer,TX,Black,All-wheel Drive,17,22,Gasoline,8-Speed Automatic
2021,Kia,Telluride SX,Used,"$51,273",Dealer,TX,Gray,Front-wheel Drive,20,26,Gasoline,8-Speed Automatic
2018,Hyundai,Elantra SEL,Used,"$15,500",Dealer,KS,Gray,Front-wheel Drive,28,37,Gasoline,6-Speed Automatic
2020,Mercedes-Benz,GLC 300 Base 4MATIC,Used,"$51,998",Dealer,KS,Black,All-wheel Drive,21,28,Gasoline,9-Speed Automatic
2020,Kia,Telluride SX,Used,"$50,995",Dealer,TX,Gray,Front-wheel Drive,20,26,Gasoline,8-Speed Automatic
2018,Porsche,Cayenne Base,Used,"$49,965",Dealer,MO,Saddle Brown,All-wheel Drive,18,24,Gasoline,8-Speed Automatic
2019,Lincoln,MKZ Standard,Used,"$33,691",Dealer,TX,Cappuccino,Front-wheel Drive,20,31,Gasoline,6-Speed Automatic
2018,Honda,HR-V LX,Used,"$17,997",Dealer,MN,Black,All-wheel Drive,27,31,Gasoline,Automatic CVT
2020,Ford,Edge ST,Used,"$43,596",Dealer,MN,Ebony,All-wheel Drive,19,26,Gasoline,8-Speed Automatic
2020,Hyundai,Palisade Limited,Used,"$45,500",Dealer,MS,Black,Front-wheel Drive,19,26,Gasoline,8-Speed Automatic
2020,Nissan,Rogue SL,Used,"$33,277",Dealer,LA,Charcoal,Front-wheel Drive,26,33,Gasoline,Automatic CVT
2019,Buick,Encore Preferred,Used,"$21,989",Dealer,LA,Ebony,Front-wheel Drive,25,30,Gasoline,6-Speed Automatic
2018,Jeep,Grand Cherokee Limited,Used,"$33,663",Dealer,WI,Black,Four-wheel Drive,18,25,Gasoline,8-Speed Automatic
2019,Cadillac,XT4 Sport,Used,"$35,998",Dealer,IL,Black,All-wheel Drive,22,29,Gasoline,9-Speed Automatic
2015,Chevrolet,Tahoe LTZ,Used,"$35,473",Dealer,WI,Jet Black,Four-wheel Drive,16,22,Gasoline,6-Speed Automatic
2013,Kia,Soul +,Used,"$9,999",Dealer,IL,Black,Front-wheel Drive,23,28,Gasoline,Automatic
2015,Chevrolet,Silverado 1500 LTZ,Used,"$26,900",Dealer,WI,Jet Black,Four-wheel Drive,16,22,Gasoline,Automatic
2018,Honda,Civic LX,Used,"$15,995",Dealer,TN,Black,Front-wheel Drive,31,40,Gasoline,Automatic CVT
2019,Tesla,Model 3 Standard Range Plus,Used,"$49,996",Dealer,GA,Black,Rear-wheel Drive,140,124,Electric,1-Speed Automatic
2016,Toyota,Highlander Limited Platinum,Used,"$32,979",Dealer,GA,Black,Front-wheel Drive,19,25,Gasoline,6-Speed Automatic
2020,Chevrolet,Equinox 1LT,Used,"$27,995",Dealer,MI,Jet Black,All-wheel Drive,25,30,Gasoline,6-Speed Automatic
2019,Hyundai,Elantra SE,Used,"$13,950",Dealer,OH,Gray,Front-wheel Drive,29,38,Gasoline,6-Speed Automatic
2014,Mercedes-Benz,E-Class E 350,Used,"$21,500",Private,GA,White,Rear-wheel Drive,21,31,Gasoline Fuel,7-Speed A/T
2019,Mercedes-Benz,GLS 450 GLS 450,Used,"$51,909",Dealer,OH,Black,All-wheel Drive,16,22,Gasoline,9-Speed Automatic
2020,Land,Rover Range Rover Evoque SE,Used,"$47,500",Dealer,PA,Ebony,All-wheel Drive,20,27,Gasoline,Automatic
2019,Honda,Civic Sport,Used,"$24,998",Dealer,NC,Black,Front-wheel Drive,29,37,Gasoline,Automatic CVT
2022,Acura,MDX Base,Used,"$48,998",Dealer,FL,Orchid,Front-wheel Drive,19,26,Gasoline,10-Speed Automatic
2021,Toyota,Highlander Hybrid Limited,Used,"$48,916",Dealer,FL,Beige,All-wheel Drive,35,34,Hybrid,Automatic CVT
2020,Nissan,Rogue Sport S,Used,"$22,790",Dealer,FL,Charcoal,Front-wheel Drive,25,32,Gasoline,Automatic CVT
2021,RAM,1500 Big Horn,Used,"$49,997",Dealer,FL,Light Mountain Brown,Four-wheel Drive,19,24,Gasoline,8-Speed Automatic
2020,Lincoln,Aviator Black Label AWD,Used,"$70,988",Dealer,FL,Mahogany Red,All-wheel Drive,17,24,Gasoline,10-Speed Automatic
2015,BMW,328 i xDrive,Used,"$22,495",Dealer,NY,Black,All-wheel Drive,22,33,Gasoline,8-Speed Automatic
2019,Chevrolet,Tahoe LT,Used,"$42,900",Dealer,VA,Black,Four-wheel Drive,15,21,Gasoline,6-Speed Automatic
2013,Toyota,Highlander SE,Used,"$19,750",Dealer,VA,Black,All-wheel Drive,17,22,Gasoline,5-Speed Automatic
2021,Mazda,CX-5 Grand Touring,Used,"$34,590",Private,MD,Black,All-wheel Drive,24,30,Gasoline Fuel,A/T
2019,Mercedes-Benz,GLS 450 Base 4MATIC,Used,"$48,995",Dealer,VA,Porcelain / Black,All-wheel Drive,16,22,Gasoline,9-Speed Automatic
2020,Kia,Sorento LX,Used,"$23,972",Dealer,FL,Black,Front-wheel Drive,19,26,Gasoline,8-Speed Automatic
2014,Land,Rover Range Rover Sport Supercharged HSE,Used,"$29,995",Dealer,VA,Ebony / Lunar / Cirrus,Four-wheel Drive,17,23,Gasoline,8-Speed Automatic
2014,Lincoln,MKZ Base,Used,"$17,900",Private,FL,Beige,Front-wheel Drive,22,33,Gasoline Fuel,6-Speed A/T
2019,Jeep,Grand Cherokee Limited,Used,"$31,000",Dealer,FL,Black,Rear-wheel Drive,19,26,Gasoline,8-Speed Automatic
2019,Jeep,Grand Cherokee Limited,Used,"$34,389",Dealer,NY,Light Frost,Four-wheel Drive,18,25,Gasoline,8-Speed Automatic
2019,Jeep,Cherokee Latitude Plus,Used,"$28,498",Dealer,PA,Black,Four-wheel Drive,21,29,Gasoline,9-Speed Automatic
2021,Toyota,Tacoma SR5,Used,"$34,245",Dealer,FL,Black / Red,Rear-wheel Drive,20,23,Gasoline,6-Speed Automatic
2017,Acura,ILX w/AcuraWatch Plus,Used,"$6,950",Dealer,FL,Ebony,Front-wheel Drive,25,35,Gasoline,8-Speed Automatic with Auto-Shift
2019,Subaru,Impreza 2.0i Premium,Used,"$22,894",Dealer,PA,Ivory,All-wheel Drive,28,36,Gasoline,Automatic CVT
2019,Genesis,G80 3.8,Used,"$36,999",Dealer,NJ,Gray,All-wheel Drive,18,24,Gasoline,8-Speed Automatic
2013,Lexus,GX 460 460,Used,"$23,995",Dealer,NJ,Ecru,Four-wheel Drive,15,20,Gasoline,6-Speed Automatic
2016,Dodge,Charger R/T Scat Pack,Used,"$39,950",Dealer,NY,Black,Rear-wheel Drive,15,25,Gasoline,8-Speed Automatic
2017,Mercedes-Benz,E-Class E 300 4MATIC,Used,"$33,016",Dealer,NY,Beige,All-wheel Drive,22,29,Gasoline,9g tronic automatic
2020,Acura,TLX V6,Used,"$27,990",Dealer,NY,Ebony,Front-wheel Drive,20,31,Gasoline,9-Speed Automatic
2015,Acura,TLX V6 Advance,Used,"$23,437",Dealer,CT,Gray,All-wheel Drive,21,31,Gasoline,9-Speed Automatic
2019,Honda,CR-V EX-L,Used,"$31,336",Dealer,MA,Gray,All-wheel Drive,27,33,Gasoline,Automatic CVT
2020,Dodge,Durango GT,Used,"$45,899",Dealer,MA,Black,All-wheel Drive,18,25,Gasoline,8-SPEED A/T
2004,Jeep,Grand Cherokee Limited,Used,"$6,990",Dealer,CA,Dark Slate Gray,Four-wheel Drive,16,21,Gasoline,5-Speed Automatic
2021,Audi,Q8 55 Premium,Used,"$76,988",Dealer,NV,Black,All-wheel Drive,18,23,Gasoline,8-Speed Automatic
2018,Mazda,CX-5 Grand Touring,Used,"$27,500",Dealer,CA,Black,Front-wheel Drive,25,31,Gasoline,6-Speed Automatic
2020,Toyota,Corolla SE,Used,"$25,995",Dealer,AZ,Black,Front-wheel Drive,31,40,Gasoline,Automatic CVT
2018,Tesla,Model S 75D,Used,"$60,000",Dealer,AZ,Black,All-wheel Drive,102,105,Electric,1-Speed Automatic
2014,Subaru,XV Crosstrek 2.0i Premium,Used,"$14,900",Dealer,AZ,Black,All-wheel Drive,23,30,Gasoline,5-Speed Manual
2019,BMW,X5 xDrive40i,Used,"$53,989",Dealer,UT,Black,All-wheel Drive,20,26,Gasoline,8-Speed Automatic
2020,BMW,X3 xDrive30i,Used,"$40,998",Dealer,CO,Black,All-wheel Drive,24,29,Gasoline,8-Speed Automatic
2017,BMW,X3 xDrive28i,Used,"$32,199",Dealer,WA,Mocha,All-wheel Drive,21,28,Gasoline,Automatic
2017,Kia,Sorento SX,Used,"$25,999",Dealer,SD,Gray,All-wheel Drive,17,23,Gasoline,6-Speed Automatic
2018,BMW,X3 xDrive30i,Used,"$33,962",Dealer,TX,Black,All-wheel Drive,22,29,Gasoline,8-Speed Automatic
2020,Mercedes-Benz,GLC 300 Base,Used,"$42,888",Dealer,TX,Black,Rear-wheel Drive,22,29,Gasoline,9-Speed Automatic
2021,Mercedes-Benz,GLE 350,Used,"$64,980",Dealer,TX,Black,All-wheel Drive,19,26,Gasoline,9-Speed Automatic
2020,BMW,750 i xDrive,Used,"$78,790",Dealer,TX,Black,All-wheel Drive,17,25,Gasoline,8-Speed Automatic
2021,Honda,Pilot Special Edition,Used,"$41,991",Dealer,TX,Black,Front-wheel Drive,20,27,Gasoline,9-Speed Automatic
2017,Lexus,GS 350 F Sport,Used,"$39,988",Dealer,TX,Red,Rear-wheel Drive,19,27,Gasoline,8-Speed Automatic
2021,Toyota,Highlander Limited,Used,"$48,995",Dealer,TX,Black,Front-wheel Drive,21,29,Gasoline,8-Speed Automatic
2019,Subaru,Outback 2.5i Limited,Used,"$26,947",Dealer,SD,Black,All-wheel Drive,25,32,Gasoline,Automatic CVT
2019,Land,Rover Range Rover SV Autobiography Dynamic,Used,"$140,000",Dealer,MO,Ebony / Cirrus,Four-wheel Drive,14,19,Gasoline,Automatic
2019,INFINITI,QX60 Luxe,Used,"$34,989",Dealer,TX,Wheat,Front-wheel Drive,20,27,Gasoline,Automatic CVT
2021,GMC,Yukon Denali,Used,"$78,749",Dealer,TX,Jet Black,Rear-wheel Drive,15,20,Gasoline,10-Speed Automatic
2020,Honda,Passport EX-L,Used,"$38,998",Dealer,MN,Black,All-wheel Drive,19,24,Gasoline,Automatic
2018,Toyota,RAV4 Limited,Used,"$33,675",Dealer,MN,Black,All-wheel Drive,22,28,Gasoline,6-Speed Automatic
2014,Mazda,Mazda3 i SV,Used,"$12,987",Dealer,MN,Black,Front-wheel Drive,30,41,Gasoline,Automatic 6-Speed
2020,Kia,Stinger GT2,Used,"$47,000",Dealer,MO,Black,All-wheel Drive,17,25,Gasoline,8-Speed Automatic
2020,Acura,TLX A-Spec,Used,"$38,749",Dealer,MO,Red,All-wheel Drive,20,29,Gasoline,9-Speed Automatic
2021,Audi,A6 55 Premium Plus,Used,"$50,591",Dealer,MO,Black,All-wheel Drive,23,31,Gasoline,7-Speed Automatic
2021,Tesla,Model Y Performance,Used,"$74,000",Dealer,MO,White / Black,All-wheel Drive,115,106,Electric,1-Speed Automatic
2019,Honda,CR-V EX-L,Used,"$35,573",Dealer,MO,Gray,All-wheel Drive,27,33,Gasoline,Automatic CVT
2019,BMW,X5 xDrive40i,Used,"$52,767",Dealer,IL,Black,All-wheel Drive,20,26,Gasoline,8-Speed Automatic
2020,Ford,Mustang GT,Used,"$62,977",Dealer,IL,Black,Rear-wheel Drive,15,24,Gasoline,10-Speed Automatic
2019,Tesla,Model 3 Performance,Used,"$57,775",Dealer,IL,Black,All-wheel Drive,120,112,Electric,1-Speed Automatic
2018,Dodge,Durango GT,Used,"$33,995",Dealer,IL,Black,All-wheel Drive,18,25,Gasoline,8-Speed Automatic
2016,Toyota,4Runner Limited,Used,"$35,910",Dealer,IN,Redwood,Four-wheel Drive,17,21,Gasoline,5-Speed Automatic
2019,INFINITI,QX80 Luxe,Used,"$46,733",Dealer,TN,Graphite / Stone,Rear-wheel Drive,14,20,Gasoline,7-Speed Automatic
2019,BMW,X5 xDrive40i,Used,"$55,488",Dealer,TN,Black,All-wheel Drive,20,26,Gasoline,8-Speed Automatic
2020,Subaru,Ascent Touring 7-Passenger,Used,"$42,999",Dealer,AL,Java Brown,All-wheel Drive,20,26,Gasoline,Automatic CVT
2018,Mercedes-Benz,C-Class C 300,Used,"$29,809",Dealer,AL,Black,Rear-wheel Drive,24,33,Gasoline,9-Speed Automatic
2020,Tesla,Model Y Long Range,Used,"$69,000",Dealer,IN,Black,All-wheel Drive,127,114,Electric,1-Speed Automatic
2019,Honda,Pilot EX-L,Used,"$34,447",Dealer,IN,Black,Front-wheel Drive,19,27,Gasoline,6-Speed Automatic
2018,Jeep,Wrangler Unlimited Sahara,Used,"$42,980",Dealer,MI,Black,Four-wheel Drive,17,23,Gasoline,8-Speed Automatic
2016,Subaru,Forester 2.5i Touring,Used,"$26,405",Dealer,OH,Gray,All-wheel Drive,24,32,Gasoline,Automatic CVT
2015,Jeep,Wrangler Unlimited Sport,Used,"$26,996",Dealer,GA,Black,Four-wheel Drive,16,21,Gasoline,5-Speed Automatic
2020,Lexus,RX 350 Base,Used,"$50,430",Dealer,GA,Parchment,Front-wheel Drive,20,27,Gasoline,8-Speed Automatic
2019,Volkswagen,Jetta 1.4T S,Used,"$19,982",Dealer,GA,Storm Gray,Front-wheel Drive,30,40,Gasoline,8-Speed Automatic
2020,Land,Rover Range Rover Evoque SE,Used,"$42,080",Dealer,GA,Ebony / Ebony,All-wheel Drive,20,27,Gasoline,Automatic
2016,Ford,Mustang GT,Used,"$24,995",Dealer,SC,Black,Rear-wheel Drive,15,25,Gasoline,6-Speed Automatic
2017,Ford,Focus RS Base,Used,"$37,438",Dealer,NC,Charcoal Black,All-wheel Drive,19,25,Gasoline,6-Speed Manual
2018,Alfa,Romeo Stelvio Base,Used,"$26,504",Dealer,FL,Black,All-wheel Drive,22,28,Gasoline,8-Speed Automatic
2016,Jaguar,F-TYPE S,Used,"$53,222",Dealer,SC,Jet,All-wheel Drive,18,26,Gasoline,8-Speed Automatic
